bridge: ap=/dev/ttyUSB0 sta=/dev/ttyUSB1 baud=921600 logdir=logs capture=logs/capture_1771139179.sf.bin
bridge: roles ap_role=AP sta_role=STA
bridge: proto_log=logs/proto_1771139179.jsonl
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a2002299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a3002399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a4002499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a5002599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a6002699
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=636301e3016300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a7002799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a8002899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080a9002999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080aa002a99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080ab002b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080ac002c99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080ad002d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080ae002e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080af002f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066808080b0003099
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=636301e5016300524144434c4f4650565f38333938313900
