bridge: ap=/dev/ttyUSB0 sta=/dev/ttyUSB1 baud=921600 logdir=logs capture=logs/capture_1771139514.sf.bin
bridge: roles ap_role=AP sta_role=STA
bridge: proto_log=logs/proto_1771139514.jsonl
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07280b000f299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07180b000f199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07080b000f099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06f80b000ef99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06e80b000ee99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06d80b000ed99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06c80b000ec99
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630174006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06b80b000eb99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06a80b000ea99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06980b000e999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06880b000e899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06780b000e799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06680b000e699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06580b000e599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06480b000e499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06380b000e399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06280b000e299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06180b000e199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b06080b000e099
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630176006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05f80b000df99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05e80b000de99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05d80b000dd99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05c80b000dc99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05b80b000db99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05a80b000da99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05980b000d999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05880b000d899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05780b000d799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05680b000d699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05580b000d599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05480b000d499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05380b000d399
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630178006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05280b000d299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05180b000d199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b05080b000d099
